DrinkIngredient;Category;IsUsed;SupplierId;Cost;SizeLiters;SizeUnits;QuantityNeeded;Notes
COGNAC COURVASIEUR;SUPER ALCOLICI;NO;LEVA;19,92;1;1;10;
COCA COLA ZERO LAT;BIBITE;NO;ATB;0,5;0,33;1;10;
DELIRIUM TREMENS;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,28;0,33;1;10;
THATCHERS SIDRO HAZE - LAT;BIRRE BOTTIGLIA;SI;DIBE;2,12;0,44;1;10;
CRODINO;BIBITE;SI;LEVA;0,5;0,1;1;10;
CONTREAU;SUPER ALCOLICI;NO;LEVA;20,11;1;1;10;LIQUORE
THATCHERS SIDRO ROSE' - LAT;BIRRE BOTTIGLIA;SI;DIBE;2,15;0,44;1;10;
LA TRAPPE DUBBEL;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2;0,33;1;10;
CONTREAU;LIQUORE;NO;ATB;18,83;1;1;10;
CORONA 4,6%;BIRRE BOTTIGLIA;NO;ATB;1,33;0,33;1;10;
CORONA 4,6%;BIRRE BOTTIGLIA;NO;CDA;0,79;0,33;1;10;
LEFFE AMBREE 6,6;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;1,47;0,33;1;10;
LEFFE RITUEL 9,0;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;0;0,75;1;10;
DOLCETTO D'ALBA;VINI;NO;LEVA;4,54;0,75;1;10;
LEFFE TRIPEL 8,5;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;1,67;0,33;1;10;
CRODINO;BIBITE;NO;ATB;0;0,33;1;10;
DAURA;BIRRE BOTTIGLIA;NO;METRO;1,79;0,33;1;10;
DE DOLLE ARA BIER;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,4;0,33;1;10;IPA
DE DOLLE DULLE TEVE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,52;0,33;1;10;TRIPEL
DE DOLLE STILLE NACHT 12°;BIRRE BOTTIGLIA;NATALE;LA CENTRALE DEL GUSTO;3,69;0,33;1;10;CHRISTMAS STRONG ALE
LIEFMANS FRUITESSE;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;1,82;0,25;1;10;
DE RANKE PER NOEL;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,28;0,33;1;10;CHRISTMAS STRONG ALE
LIEFMANS GOUDENBRAND;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;3,22;0,375;1;10;
LIEFMANS KRIECK;BIRRE BOTTIGLIA;NATALE;DIBE;7,01;0,75;1;10;
LOWLANDER WINTER I.P.A.;BIRRE BOTTIGLIA;NATALE;DIBE;2,66;0,33;1;10;
MONGOZO;BIRRE BOTTIGLIA;NO;DIBE;1,78;0,33;1;10;
DELIRIUM NOEL;BIRRE BOTTIGLIA;NATALE;LA CENTRALE DEL GUSTO;2,32;0,33;1;10;
DELIRIUM TREMENS;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,12;0,33;1;10;TRIPEL
MORREL'S SCOTCH ALE;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;1,87;0,33;1;10;
Delirium Red 9 %;BIRRE BOTTIGLIA;NO;ATB;1,09;0,33;1;10;
LUPULUS BLANCE;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;1,77;0,33;1;10;
DELIRIUM TREMENS;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,05;0,33;1;10;TRIPEL
DI SARONNO;SUPER ALCOLICI;SI;LEVA;17,56;1;1;10;
ORVAL 6,2 %;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,18;0,33;1;10;
FALANGHINA DEL BEN IGT;VINI;NO;LEVA;3,47;0,75;1;10;BIANCO FERMO
DI SARONNO;AMARO;NO;ATB;17,2;1;1;10;
ROCHEFORT 06;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,25;0,33;1;10;
DNA IPA 4,5%;BIRRE BOTTIGLIA;NO;METRO;1,79;0,33;1;10;IPA
FANTA VETRO 33 CL;BIBITE;SI;LEVA;0,56;0,33;1;10;
DOLCETTO D'ALBA;VINI;NO;ATB;2,5;0,75;1;10;
ROCHEFORT 08;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,57;0,33;1;10;
ROCHEFORT 10;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;3,28;0,33;1;10;
DOM BYRON FEBUS PILS;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,42;0,33;1;10;PILS
DOM BYRON ICARIUS IPA;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,55;0,33;1;10;IPA
DUVEL TRIPEL BLONDE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;0,5;0,33;1;10;TRIPEL
SHEPHERD NAME IPA;BIRRE BOTTIGLIA;IN PROGRAMMA;DIBE;2,5;0,5;1;10;IPA
SIDRO THATCHERS GOLD;BIRRE BOTTIGLIA;NO;DIBE;2,8;0,5;1;10;SIDRO
FRATELLI VENA - LIQUIRIZIA;SUPER ALCOLICI;NO;LEVA;14,38;0,7;1;10;
FALANGHINA DEL BEN IGT;VINI;NO;ATB;3;0,75;1;10;
THATCHERS SIDRO HAZE - BOT;BIRRE BOTTIGLIA;NO;DIBE;2,83;0,5;1;10;
FRATELLI VENA - MIRTO;SUPER ALCOLICI;SI;LEVA;11,77;0,7;1;10;
FRANZISKANER KELLER 5,2;BIRRE FUSTO;IN PROGRAMMA;DIBE;52,52;18;1;10;0.30-0.50-1 - KELLER
FRANZISKANER KELLER 5,2;BIRRE FUSTO;SI;DIBE;36,94;12;1;10;0.30-0.50-1 - KELLER
FRANZISKANER WEISSE 5,0;BIRRE FUSTO;IN PROGRAMMA;DIBE;65,7;30;1;10;0.30-0.50-1 WEISSE
FRANZISKANER WEISSE 5,0;BIRRE FUSTO;SI;DIBE;72,68;30;1;10;0.30-0.50-1 WEISSE
GOOSE IPA 5,9;BIRRE FUSTO;IN PROGRAMMA;DIBE;65,8;20;1;10;0.25-0.4 OBB 0.355 IPA
GOOSE IPA 5,9;BIRRE FUSTO;SI;DIBE;75,25;20;1;10;0.25-0.4 OBB 0.355 IPA
GIN BOSFORD;SUPER ALCOLICI;NO;LEVA;9,54;1;1;10;
GUINNESS STOUT 4,2;BIRRE FUSTO;IN PROGRAMMA;DIBE;95,34;30;1;10;0,25-0.50
GAZZOSA GUIZZA;BIBITE;SI;CDA;0,38;1,5;1;10;
GIN GORDON'S;SUPER ALCOLICI;SI;LEVA;12,33;1;1;10;
GUINNESS STOUT 4,2;BIRRE FUSTO;SI;DIBE;103,77;30;1;10;98,76
GIN HEMP;SUPER ALCOLICI;SI;ROSSI D'ANGERA;24,31;0,7;1;10;GIN
GIN HENDRICK'S;SUPER ALCOLICI;SI;LEVA;27,04;0,7;1;10;
GIN GORDON'S;GIN;NO;ATB;11;1;1;10;
GIN LARIO'S DRY;SUPER ALCOLICI;NO;LEVA;9,54;1;1;10;
GIN LATITUDINE 45°;SUPER ALCOLICI;SI;ROSSI D'ANGERA;23,31;0,7;1;10;GIN
GIN MALFY ARANCIA;SUPER ALCOLICI;SI;LEVA;25,33;0,7;1;10;
GIN MALFY LIMONE;SUPER ALCOLICI;SI;LEVA;25,33;0,7;1;10;
GIN MALFY POMPELMO ROSA;SUPER ALCOLICI;SI;LEVA;25,33;0,7;1;10;
GIN MOMBASA;SUPER ALCOLICI;NO;LEVA;25,43;0,7;1;10;
GIN PROFESSORE CROCODILE;SUPER ALCOLICI;SI;LEVA;32,31;0,7;1;10;
GIN PROFESSORE MESSIEU;SUPER ALCOLICI;SI;LEVA;39,09;0,7;1;10;
GIN SHAPPIRE;SUPER ALCOLICI;NO;LEVA;17,26;1;1;10;
GIN ROKU;SUPER ALCOLICI;NO;CDA;17,9;0,7;1;10;
GIN TANQUERAY;SUPER ALCOLICI;SI;LEVA;17,09;1;1;10;
GIN SHAPPIRE;GIN;NO;ATB;18,67;1;1;10;
LEFFE BLONDE 6,6;BIRRE FUSTO;IN PROGRAMMA;DIBE;58,13;20;1;10;0.25-0.33-0.50
GIN TANQUERAY SEVILLA;SUPER ALCOLICI;SI;LEVA;20,95;0,7;1;10;12 porzioni di gin tonic
GIN TANQUERAY;GIN;NO;ATB;15,55;1;1;10;
GIN VINE;SUPER ALCOLICI;NO;LEVA;24,56;0,7;1;10;
GOCCIA NERA - LIQUIRIZIA;SUPER ALCOLICI;NO;LEVA;10;0,7;1;10;
LEFFE BLONDE 6,6;BIRRE FUSTO;SI;DIBE;63,81;20;1;10;0.25-0.33-0.50
LEFFE ROUGE 6,6;BIRRE FUSTO;IN PROGRAMMA;DIBE;58,49;20;1;10;0.25-0.33-0.50 - AMBER ALE
LEFFE ROUGE 6,6;BIRRE FUSTO;SI;DIBE;64,16;20;1;10;0.25-0.33-0.50 - AMBER ALE
LOWENBRAU - PILS 5,2;BIRRE FUSTO;IN PROGRAMMA;DIBE;62,2;30;1;10;0.2-0.4.1
GOUDEN CAROLUS CHRISTMAS;BIRRE BOTTIGLIA;NATALE;LA CENTRALE DEL GUSTO;2,32;0,33;1;10;BELGIAN ALE DI NATALE
CHOUFFE N'ICE;BIRRE FUSTO;NATALE;DIBE;96,97;20;1;10;
